name,slug,%,date_of_information,ranking,region
"Qatar","qatar","0.2","2024",1,"Middle East"
"Cambodia","cambodia","0.3","2024",2,"East and Southeast Asia"
"Niger","niger","0.4","2024",3,"Africa"
"Thailand","thailand","0.7","2024",4,"East and Southeast Asia"
"Burundi","burundi","1","2024",5,"Africa"
"Chad","chad","1.1","2024",6,"Africa"
"Bahrain","bahrain","1.2","2024",7,"Middle East"
"Laos","laos","1.3","2024",8,"East and Southeast Asia"
"Solomon Islands","solomon-islands","1.5","2024",9,"Australia and Oceania"
"Moldova","moldova","1.5","2024",10,"Europe"
"Vietnam","vietnam","1.5","2024",11,"East and Southeast Asia"
"Cuba","cuba","1.6","2024",12,"Central America and the Caribbean"
"Timor-Leste","timor-leste","1.7","2024",13,"East and Southeast Asia"
"Benin","benin","1.8","2024",14,"Africa"
"Togo","togo","2","2024",15,"Africa"
"Tonga","tonga","2.2","2024",16,"Australia and Oceania"
"United Arab Emirates","united-arab-emirates","2.2","2024",17,"Middle East"
"Kuwait","kuwait","2.2","2024",18,"Middle East"
"Philippines","philippines","2.2","2024",19,"East and Southeast Asia"
"Guatemala","guatemala","2.3","2024",20,"Central America and the Caribbean"
"Cote d'Ivoire","cote-divoire","2.3","2024",21,"Africa"
"Poland","poland","2.5","2024",22,"Europe"
"Macau","macau","2.5","2024",23,"East and Southeast Asia"
"Russia","russia","2.6","2024",24,"Central Asia"
"Czechia","czechia","2.6","2024",25,"Europe"
"Tanzania","tanzania","2.6","2024",26,"Africa"
"Japan","japan","2.6","2024",27,"East and Southeast Asia"
"Korea, South","korea-south","2.7","2024",28,"East and Southeast Asia"
"Guinea-Bissau","guinea-bissau","2.7","2024",29,"Africa"
"Malta","malta","2.8","2024",30,"Europe"
"Mexico","mexico","2.8","2024",31,"North America"
"Papua New Guinea","papua-new-guinea","2.8","2024",32,"East and Southeast Asia"
"Hong Kong","hong-kong","2.8","2024",33,"East and Southeast Asia"
"Liberia","liberia","2.9","2024",34,"Africa"
"Bhutan","bhutan","2.9","2024",35,"South Asia"
"El Salvador","el-salvador","2.9","2024",36,"Central America and the Caribbean"
"Korea, North","korea-north","2.9","2024",37,"East and Southeast Asia"
"Senegal","senegal","3","2024",38,"Africa"
"Uganda","uganda","3","2024",39,"Africa"
"Nigeria","nigeria","3","2024",40,"Africa"
"Mali","mali","3.1","2024",41,"Africa"
"Burma","burma","3.1","2024",42,"East and Southeast Asia"
"Bolivia","bolivia","3.1","2024",43,"South America"
"Ghana","ghana","3.1","2024",44,"Africa"
"Madagascar","madagascar","3.1","2024",45,"Africa"
"Singapore","singapore","3.2","2024",46,"East and Southeast Asia"
"Oman","oman","3.2","2024",47,"Middle East"
"Sierra Leone","sierra-leone","3.2","2024",48,"Africa"
"Iceland","iceland","3.2","2024",49,"Europe"
"Israel","israel","3.2","2024",50,"Middle East"
"Indonesia","indonesia","3.3","2024",51,"East and Southeast Asia"
"Kyrgyzstan","kyrgyzstan","3.3","2024",52,"Central Asia"
"Ethiopia","ethiopia","3.4","2024",53,"Africa"
"Taiwan","taiwan","3.4","2024",54,"East and Southeast Asia"
"Belarus","belarus","3.4","2024",55,"Europe"
"Slovenia","slovenia","3.4","2024",56,"Europe"
"Germany","germany","3.5","2024",57,"Europe"
"Cameroon","cameroon","3.6","2024",58,"Africa"
"Mozambique","mozambique","3.6","2024",59,"Africa"
"Netherlands","netherlands","3.6","2024",60,"Europe"
"Saudi Arabia","saudi-arabia","3.9","2024",61,"Middle East"
"Comoros","comoros","3.9","2024",62,"Africa"
"Malaysia","malaysia","3.9","2024",63,"East and Southeast Asia"
"Norway","norway","4","2024",64,"Europe"
"Australia","australia","4.1","2024",65,"Australia and Oceania"
"Switzerland","switzerland","4.2","2024",66,"Europe"
"United States","united-states","4.2","2024",67,"North America"
"Bulgaria","bulgaria","4.2","2024",68,"Europe"
"United Kingdom","united-kingdom","4.2","2024",69,"Europe"
"India","india","4.3","2024",70,"South Asia"
"Fiji","fiji","4.4","2024",71,"Australia and Oceania"
"Ireland","ireland","4.4","2024",72,"Europe"
"Turkmenistan","turkmenistan","4.4","2024",73,"Central Asia"
"Hungary","hungary","4.5","2024",74,"Europe"
"Uzbekistan","uzbekistan","4.5","2024",75,"Central Asia"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","4.6","2024",76,"Africa"
"Nicaragua","nicaragua","4.6","2024",77,"Central America and the Caribbean"
"Trinidad and Tobago","trinidad-and-tobago","4.6","2024",78,"Central America and the Caribbean"
"Samoa","samoa","4.6","2024",79,"Australia and Oceania"
"China","china","4.6","2024",80,"East and Southeast Asia"
"Maldives","maldives","4.7","2024",81,"South Asia"
"Bangladesh","bangladesh","4.7","2024",82,"South Asia"
"Ecuador","ecuador","4.8","2024",83,"South America"
"Kazakhstan","kazakhstan","4.8","2024",84,"Central Asia"
